Tweet,Label,tweet_tokens,tweet_freq_dist,tweet_normalized,token_stop_word,tweet_stemming
mpok sylvianamurninya tolong mas agusyudhoyono,0,"['mpok', 'sylvianamurninya', 'tolong', 'mas', 'agusyudhoyono']",<FreqDist with 5 samples and 5 outcomes>,"['mpok', 'sylvianamurninya', 'tolong', 'mas', 'agusyudhoyono']","['mpok', 'sylvianamurninya', 'tolong', 'mas', 'agusyudhoyono']","['mpok', 'sylvianamurninya', 'tolong', 'mas', 'agusyudhoyono']"
ini pesan ahok di hari pers nasional kitapastipernah httpstco,0,"['ini', 'pesan', 'ahok', 'di', 'hari', 'pers', 'nasional', 'kitapastipernah', 'httpstco']",<FreqDist with 9 samples and 9 outcomes>,"['ini', 'pesan', 'ahok', 'di', 'hari', 'pers', 'nasional', 'kitapastipernah', 'httpstco']","['pesan', 'ahok', 'pers', 'nasional', 'kitapastipernah', 'httpstco']","['pesan', 'ahok', 'pers', 'nasional', 'kitapastipernah', 'httpstco']"
mantap pak ahok debatfinalpilkadajkt,0,"['mantap', 'pak', 'ahok', 'debatfinalpilkadajkt']",<FreqDist with 4 samples and 4 outcomes>,"['mantap', 'pak', 'ahok', 'debatfinalpilkadajkt']","['mantap', 'ahok', 'debatfinalpilkadajkt']","['mantap', 'ahok', 'debatfinalpilkadajkt']"
suporternya mulai kampungan paslon masih ngomong jg debatfinalpilkadajkt,0,"['suporternya', 'mulai', 'kampungan', 'paslon', 'masih', 'ngomong', 'jg', 'debatfinalpilkadajkt']",<FreqDist with 8 samples and 8 outcomes>,"['suporternya', 'mulai', 'kampungan', 'paslon', 'masih', 'ngomong', 'jg', 'debatfinalpilkadajkt']","['suporternya', 'kampungan', 'paslon', 'ngomong', 'jg', 'debatfinalpilkadajkt']","['suporter', 'kampung', 'paslon', 'ngomong', 'jg', 'debatfinalpilkadajkt']"
tementemen apapun pilihannya masih ada kehidupan setelah pilkada mari saling merangkul saatnya jakarta maju dan bahagia bersama,0,"['tementemen', 'apapun', 'pilihannya', 'masih', 'ada', 'kehidupan', 'setelah', 'pilkada', 'mari', 'saling', 'merangkul', 'saatnya', 'jakarta', 'maju', 'dan', 'bahagia', 'bersama']",<FreqDist with 17 samples and 17 outcomes>,"['tementemen', 'apapun', 'pilihannya', 'masih', 'ada', 'kehidupan', 'setelah', 'pilkada', 'mari', 'saling', 'merangkul', 'saatnya', 'jakarta', 'maju', 'dan', 'bahagia', 'bersama']","['tementemen', 'apapun', 'pilihannya', 'kehidupan', 'pilkada', 'mari', 'merangkul', 'jakarta', 'maju', 'bahagia']","['tementemen', 'apa', 'pilih', 'hidup', 'pilkada', 'mari', 'rangkul', 'jakarta', 'maju', 'bahagia']"
matanajwadebatjakarta nyesel liat debat tidak bermutu cuma bisa mencela,0,"['matanajwadebatjakarta', 'nyesel', 'liat', 'debat', 'tidak', 'bermutu', 'cuma', 'bisa', 'mencela']",<FreqDist with 9 samples and 9 outcomes>,"['matanajwadebatjakarta', 'nyesel', 'liat', 'debat', 'tidak', 'bermutu', 'cuma', 'bisa', 'mencela']","['matanajwadebatjakarta', 'nyesel', 'liat', 'debat', 'bermutu', 'mencela']","['matanajwadebatjakarta', 'nyesel', 'liat', 'debat', 'mutu', 'cela']"
biar kalah tetap bangga sabar iklas menerima nya masih bnyak jabatan lain untuk pak ahok tetapahok,0,"['biar', 'kalah', 'tetap', 'bangga', 'sabar', 'iklas', 'menerima', 'nya', 'masih', 'bnyak', 'jabatan', 'lain', 'untuk', 'pak', 'ahok', 'tetapahok']",<FreqDist with 16 samples and 16 outcomes>,"['biar', 'kalah', 'tetap', 'bangga', 'sabar', 'iklas', 'menerima', 'nya', 'masih', 'bnyak', 'jabatan', 'lain', 'untuk', 'pak', 'ahok', 'tetapahok']","['biar', 'kalah', 'bangga', 'sabar', 'iklas', 'menerima', 'nya', 'bnyak', 'jabatan', 'ahok', 'tetapahok']","['biar', 'kalah', 'bangga', 'sabar', 'iklas', 'terima', 'nya', 'bnyak', 'jabat', 'ahok', 'tetapahok']"
rt findririn dan toleransi itu ketika muslim bisa menjalankan perintah agamanya dan non muslim juga bisa menjalankan agamanya,0,"['rt', 'findririn', 'dan', 'toleransi', 'itu', 'ketika', 'muslim', 'bisa', 'menjalankan', 'perintah', 'agamanya', 'dan', 'non', 'muslim', 'juga', 'bisa', 'menjalankan', 'agamanya']",<FreqDist with 13 samples and 18 outcomes>,"['rt', 'findririn', 'dan', 'toleransi', 'itu', 'ketika', 'muslim', 'bisa', 'menjalankan', 'perintah', 'agamanya', 'dan', 'non', 'muslim', 'juga', 'bisa', 'menjalankan', 'agamanya']","['rt', 'findririn', 'toleransi', 'muslim', 'menjalankan', 'perintah', 'agamanya', 'non', 'muslim', 'menjalankan', 'agamanya']","['rt', 'findririn', 'toleransi', 'muslim', 'jalan', 'perintah', 'agama', 'non', 'muslim', 'jalan', 'agama']"
telaaaakkk nomer satuuuu nghahahaha debatfinalpilkadajkt,0,"['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha', 'debatfinalpilkadajkt']",<FreqDist with 5 samples and 5 outcomes>,"['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha', 'debatfinalpilkadajkt']","['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha', 'debatfinalpilkadajkt']","['telaaaakkk', 'nomer', 'satuuuu', 'nghahahaha', 'debatfinalpilkadajkt']"
debatfinalpilkadajkt aduh kecewa pertanyaan paslon,0,"['debatfinalpilkadajkt', 'aduh', 'kecewa', 'pertanyaan', 'paslon']",<FreqDist with 5 samples and 5 outcomes>,"['debatfinalpilkadajkt', 'aduh', 'kecewa', 'pertanyaan', 'paslon']","['debatfinalpilkadajkt', 'aduh', 'kecewa', 'paslon']","['debatfinalpilkadajkt', 'aduh', 'kecewa', 'paslon']"
kiranya jakarta semakin baik selamat berjuang buat pak ahok dan pak anies matanajwadebatjakarta,0,"['kiranya', 'jakarta', 'semakin', 'baik', 'selamat', 'berjuang', 'buat', 'pak', 'ahok', 'dan', 'pak', 'anies', 'matanajwadebatjakarta']",<FreqDist with 12 samples and 13 outcomes>,"['kiranya', 'jakarta', 'semakin', 'baik', 'selamat', 'berjuang', 'buat', 'pak', 'ahok', 'dan', 'pak', 'anies', 'matanajwadebatjakarta']","['jakarta', 'selamat', 'berjuang', 'ahok', 'anies', 'matanajwadebatjakarta']","['jakarta', 'selamat', 'juang', 'ahok', 'anies', 'matanajwadebatjakarta']"
agussylvi sisipkan bahasa jawa saat debat httpstcofgtfxgainx,0,"['agussylvi', 'sisipkan', 'bahasa', 'jawa', 'saat', 'debat', 'httpstcofgtfxgainx']",<FreqDist with 7 samples and 7 outcomes>,"['agussylvi', 'sisipkan', 'bahasa', 'jawa', 'saat', 'debat', 'httpstcofgtfxgainx']","['agussylvi', 'sisipkan', 'bahasa', 'jawa', 'debat', 'httpstcofgtfxgainx']","['agussylvi', 'sisip', 'bahasa', 'jawa', 'debat', 'httpstcofgtfxgainx']"
dari lahir di jakarta sampe detik ini baru gue liat kali pintu air manggarai bersih dari sampah ya pas jaman jokowi sampe ahok tetapahok,0,"['dari', 'lahir', 'di', 'jakarta', 'sampe', 'detik', 'ini', 'baru', 'gue', 'liat', 'kali', 'pintu', 'air', 'manggarai', 'bersih', 'dari', 'sampah', 'ya', 'pas', 'jaman', 'jokowi', 'sampe', 'ahok', 'tetapahok']",<FreqDist with 22 samples and 24 outcomes>,"['dari', 'lahir', 'di', 'jakarta', 'sampe', 'detik', 'ini', 'baru', 'gue', 'liat', 'kali', 'pintu', 'air', 'manggarai', 'bersih', 'dari', 'sampah', 'ya', 'pas', 'jaman', 'jokowi', 'sampe', 'ahok', 'tetapahok']","['lahir', 'jakarta', 'sampe', 'detik', 'gue', 'liat', 'kali', 'pintu', 'air', 'manggarai', 'bersih', 'sampah', 'ya', 'pas', 'jaman', 'jokowi', 'sampe', 'ahok', 'tetapahok']","['lahir', 'jakarta', 'sampe', 'detik', 'gue', 'liat', 'kali', 'pintu', 'air', 'manggarai', 'bersih', 'sampah', 'ya', 'pas', 'jaman', 'jokowi', 'sampe', 'ahok', 'tetapahok']"
pak ahok jangan blunder dong pakdari tadi udah bagus pertanyaannya komitmen menerima hasil kontestasi matanajwadebatjakarta,0,"['pak', 'ahok', 'jangan', 'blunder', 'dong', 'pakdari', 'tadi', 'udah', 'bagus', 'pertanyaannya', 'komitmen', 'menerima', 'hasil', 'kontestasi', 'matanajwadebatjakarta']",<FreqDist with 15 samples and 15 outcomes>,"['pak', 'ahok', 'jangan', 'blunder', 'dong', 'pakdari', 'tadi', 'udah', 'bagus', 'pertanyaannya', 'komitmen', 'menerima', 'hasil', 'kontestasi', 'matanajwadebatjakarta']","['ahok', 'blunder', 'pakdari', 'udah', 'bagus', 'pertanyaannya', 'komitmen', 'menerima', 'hasil', 'kontestasi', 'matanajwadebatjakarta']","['ahok', 'blunder', 'pakdari', 'udah', 'bagus', 'tanya', 'komitmen', 'terima', 'hasil', 'kontestasi', 'matanajwadebatjakarta']"
pertanyaan ibu silvy rada maksa debatfinalpilkadajkt,0,"['pertanyaan', 'ibu', 'silvy', 'rada', 'maksa', 'debatfinalpilkadajkt']",<FreqDist with 6 samples and 6 outcomes>,"['pertanyaan', 'ibu', 'silvy', 'rada', 'maksa', 'debatfinalpilkadajkt']","['silvy', 'rada', 'maksa', 'debatfinalpilkadajkt']","['silvy', 'rada', 'maksa', 'debatfinalpilkadajkt']"
serius tapi ada selipan hiburannya debatfinalpilkadajkt,0,"['serius', 'tapi', 'ada', 'selipan', 'hiburannya', 'debatfinalpilkadajkt']",<FreqDist with 6 samples and 6 outcomes>,"['serius', 'tapi', 'ada', 'selipan', 'hiburannya', 'debatfinalpilkadajkt']","['serius', 'selipan', 'hiburannya', 'debatfinalpilkadajkt']","['serius', 'selip', 'hibur', 'debatfinalpilkadajkt']"
isejunnie ahmaddhaniprast artis korea bisa world tour ahmad dhani bisa,0,"['isejunnie', 'ahmaddhaniprast', 'artis', 'korea', 'bisa', 'world', 'tour', 'ahmad', 'dhani', 'bisa']",<FreqDist with 9 samples and 10 outcomes>,"['isejunnie', 'ahmaddhaniprast', 'artis', 'korea', 'bisa', 'world', 'tour', 'ahmad', 'dhani', 'bisa']","['isejunnie', 'ahmaddhaniprast', 'artis', 'korea', 'world', 'tour', 'ahmad', 'dhani']","['isejunnie', 'ahmaddhaniprast', 'artis', 'korea', 'world', 'tour', 'ahmad', 'dhani']"
amankan pilkada dki polisi terapkan dua sistem pengamanan,0,"['amankan', 'pilkada', 'dki', 'polisi', 'terapkan', 'dua', 'sistem', 'pengamanan']",<FreqDist with 8 samples and 8 outcomes>,"['amankan', 'pilkada', 'dki', 'polisi', 'terapkan', 'dua', 'sistem', 'pengamanan']","['amankan', 'pilkada', 'dki', 'polisi', 'terapkan', 'sistem', 'pengamanan']","['aman', 'pilkada', 'dki', 'polisi', 'terap', 'sistem', 'aman']"
felixsiauw masih bnyak hal agamis yg bisa dibahas kenapa ke pilkada terus apa tingkat keimanan anda cuma sebatas pilkada,0,"['felixsiauw', 'masih', 'bnyak', 'hal', 'agamis', 'yg', 'bisa', 'dibahas', 'kenapa', 'ke', 'pilkada', 'terus', 'apa', 'tingkat', 'keimanan', 'anda', 'cuma', 'sebatas', 'pilkada']",<FreqDist with 18 samples and 19 outcomes>,"['felixsiauw', 'masih', 'bnyak', 'hal', 'agamis', 'yang', 'bisa', 'dibahas', 'kenapa', 'ke', 'pilkada', 'terus', 'apa', 'tingkat', 'keimanan', 'anda', 'cuma', 'sebatas', 'pilkada']","['felixsiauw', 'bnyak', 'agamis', 'dibahas', 'pilkada', 'tingkat', 'keimanan', 'sebatas', 'pilkada']","['felixsiauw', 'bnyak', 'agam', 'bahas', 'pilkada', 'tingkat', 'iman', 'batas', 'pilkada']"
rencana tuhan lebih baik dari rencana manusia mungkin ahok bs bekerja kebih baik di posisi lain,0,"['rencana', 'tuhan', 'lebih', 'baik', 'dari', 'rencana', 'manusia', 'mungkin', 'ahok', 'bs', 'bekerja', 'kebih', 'baik', 'di', 'posisi', 'lain']",<FreqDist with 14 samples and 16 outcomes>,"['rencana', 'tuhan', 'lebih', 'baik', 'dari', 'rencana', 'manusia', 'mungkin', 'ahok', 'bs', 'bekerja', 'kebih', 'baik', 'di', 'posisi', 'lain']","['rencana', 'tuhan', 'rencana', 'manusia', 'ahok', 'bs', 'kebih', 'posisi']","['rencana', 'tuhan', 'rencana', 'manusia', 'ahok', 'bs', 'kebih', 'posisi']"
rt baguscondromowo mereka terus melukai aksi dalam rangka memenjarakan ahok atau ahok gagal dalam pilkada,0,"['rt', 'baguscondromowo', 'mereka', 'terus', 'melukai', 'aksi', 'dalam', 'rangka', 'memenjarakan', 'ahok', 'atau', 'ahok', 'gagal', 'dalam', 'pilkada']",<FreqDist with 13 samples and 15 outcomes>,"['rt', 'baguscondromowo', 'mereka', 'terus', 'melukai', 'aksi', 'dalam', 'rangka', 'memenjarakan', 'ahok', 'atau', 'ahok', 'gagal', 'dalam', 'pilkada']","['rt', 'baguscondromowo', 'melukai', 'aksi', 'rangka', 'memenjarakan', 'ahok', 'ahok', 'gagal', 'pilkada']","['rt', 'baguscondromowo', 'luka', 'aksi', 'rangka', 'penjara', 'ahok', 'ahok', 'gagal', 'pilkada']"
debat terakhir menentukan elektabilitas di pilkada dki putaran kedua,0,"['debat', 'terakhir', 'menentukan', 'elektabilitas', 'di', 'pilkada', 'dki', 'putaran', 'kedua']",<FreqDist with 9 samples and 9 outcomes>,"['debat', 'terakhir', 'menentukan', 'elektabilitas', 'di', 'pilkada', 'dki', 'putaran', 'kedua']","['debat', 'menentukan', 'elektabilitas', 'pilkada', 'dki', 'putaran']","['debat', 'tentu', 'elektabilitas', 'pilkada', 'dki', 'putar']"
rt prastow apapun itu keberanian ahok membongkar mafia anggaran menjadi tonggak penting menuju apbd yg kredibel dan akuntabel,0,"['rt', 'prastow', 'apapun', 'itu', 'keberanian', 'ahok', 'membongkar', 'mafia', 'anggaran', 'menjadi', 'tonggak', 'penting', 'menuju', 'apbd', 'yg', 'kredibel', 'dan', 'akuntabel']",<FreqDist with 18 samples and 18 outcomes>,"['rt', 'prastow', 'apapun', 'itu', 'keberanian', 'ahok', 'membongkar', 'mafia', 'anggaran', 'menjadi', 'tonggak', 'penting', 'menuju', 'apbd', 'yang', 'kredibel', 'dan', 'akuntabel']","['rt', 'prastow', 'apapun', 'keberanian', 'ahok', 'membongkar', 'mafia', 'anggaran', 'tonggak', 'apbd', 'kredibel', 'akuntabel']","['rt', 'prastow', 'apa', 'berani', 'ahok', 'bongkar', 'mafia', 'anggar', 'tonggak', 'apbd', 'kredibel', 'akuntabel']"
pak ahok kalau anda jadi gubernur jangan lupa anda harus bangun provinsi jambi buat lahan petani semua dan jln kreta api jambi riau lampung,0,"['pak', 'ahok', 'kalau', 'anda', 'jadi', 'gubernur', 'jangan', 'lupa', 'anda', 'harus', 'bangun', 'provinsi', 'jambi', 'buat', 'lahan', 'petani', 'semua', 'dan', 'jln', 'kreta', 'api', 'jambi', 'riau', 'lampung']",<FreqDist with 22 samples and 24 outcomes>,"['pak', 'ahok', 'kalau', 'anda', 'jadi', 'gubernur', 'jangan', 'lupa', 'anda', 'harus', 'bangun', 'provinsi', 'jambi', 'buat', 'lahan', 'petani', 'semua', 'dan', 'jln', 'kreta', 'api', 'jambi', 'riau', 'lampung']","['ahok', 'gubernur', 'lupa', 'bangun', 'provinsi', 'jambi', 'lahan', 'petani', 'jln', 'kreta', 'api', 'jambi', 'riau', 'lampung']","['ahok', 'gubernur', 'lupa', 'bangun', 'provinsi', 'jambi', 'lahan', 'tani', 'jln', 'kreta', 'api', 'jambi', 'riau', 'lampung']"
semua sayang ahok saya berharap ahok bisa jadi presiden selanjutnya bersama pak jokowi,0,"['semua', 'sayang', 'ahok', 'saya', 'berharap', 'ahok', 'bisa', 'jadi', 'presiden', 'selanjutnya', 'bersama', 'pak', 'jokowi']",<FreqDist with 12 samples and 13 outcomes>,"['semua', 'sayang', 'ahok', 'saya', 'berharap', 'ahok', 'bisa', 'jadi', 'presiden', 'selanjutnya', 'bersama', 'pak', 'jokowi']","['sayang', 'ahok', 'berharap', 'ahok', 'presiden', 'jokowi']","['sayang', 'ahok', 'harap', 'ahok', 'presiden', 'jokowi']"
saya selalu mendoakan yg terbaik untk bapak dan bapak juga mendapatkan banyak ucapan dari saudara di gaza palestina,0,"['saya', 'selalu', 'mendoakan', 'yg', 'terbaik', 'untk', 'bapak', 'dan', 'bapak', 'juga', 'mendapatkan', 'banyak', 'ucapan', 'dari', 'saudara', 'di', 'gaza', 'palestina']",<FreqDist with 17 samples and 18 outcomes>,"['saya', 'selalu', 'mendoakan', 'yang', 'terbaik', 'untk', 'bapak', 'dan', 'bapak', 'juga', 'mendapatkan', 'banyak', 'ucapan', 'dari', 'saudara', 'di', 'gaza', 'palestina']","['mendoakan', 'terbaik', 'untk', 'ucapan', 'saudara', 'gaza', 'palestina']","['doa', 'baik', 'untk', 'ucap', 'saudara', 'gaza', 'palestina']"
seharusnya mah basuki sudah bebas ya kan freeahok httpstco,0,"['seharusnya', 'mah', 'basuki', 'sudah', 'bebas', 'ya', 'kan', 'freeahok', 'httpstco']",<FreqDist with 9 samples and 9 outcomes>,"['seharusnya', 'mah', 'basuki', 'sudah', 'bebas', 'ya', 'kan', 'freeahok', 'httpstco']","['mah', 'basuki', 'bebas', 'ya', 'freeahok', 'httpstco']","['mah', 'basuki', 'bebas', 'ya', 'freeahok', 'httpstco']"
keliatan banget keberpihakan media debatfinalpilkadajkt,0,"['keliatan', 'banget', 'keberpihakan', 'media', 'debatfinalpilkadajkt']",<FreqDist with 5 samples and 5 outcomes>,"['keliatan', 'banget', 'keberpihakan', 'media', 'debatfinalpilkadajkt']","['keliatan', 'banget', 'keberpihakan', 'media', 'debatfinalpilkadajkt']","['liat', 'banget', 'pihak', 'media', 'debatfinalpilkadajkt']"
rt lebih tambah jatuh hati deh jadinya tak bisa berpaling ke pilihan yg lain tetap ke pak ahok djarotlah yg terbaik,0,"['rt', 'lebih', 'tambah', 'jatuh', 'hati', 'deh', 'jadinya', 'tak', 'bisa', 'berpaling', 'ke', 'pilihan', 'yg', 'lain', 'tetap', 'ke', 'pak', 'ahok', 'djarotlah', 'yg', 'terbaik']",<FreqDist with 19 samples and 21 outcomes>,"['rt', 'lebih', 'tambah', 'jatuh', 'hati', 'deh', 'jadinya', 'tak', 'bisa', 'berpaling', 'ke', 'pilihan', 'yang', 'lain', 'tetap', 'ke', 'pak', 'ahok', 'djarotlah', 'yang', 'terbaik']","['rt', 'jatuh', 'hati', 'deh', 'berpaling', 'pilihan', 'ahok', 'djarotlah', 'terbaik']","['rt', 'jatuh', 'hati', 'deh', 'paling', 'pilih', 'ahok', 'djarotlah', 'baik']"
ahmad dhani bangkrut ditagih utang melalui video mantan istrinya jadi janda kaya raya hampir setahun berlalu httpstco,0,"['ahmad', 'dhani', 'bangkrut', 'ditagih', 'utang', 'melalui', 'video', 'mantan', 'istrinya', 'jadi', 'janda', 'kaya', 'raya', 'hampir', 'setahun', 'berlalu', 'httpstco']",<FreqDist with 17 samples and 17 outcomes>,"['ahmad', 'dhani', 'bangkrut', 'ditagih', 'utang', 'melalui', 'video', 'mantan', 'istrinya', 'jadi', 'janda', 'kaya', 'raya', 'hampir', 'setahun', 'berlalu', 'httpstco']","['ahmad', 'dhani', 'bangkrut', 'ditagih', 'utang', 'video', 'mantan', 'istrinya', 'janda', 'kaya', 'raya', 'setahun', 'httpstco']","['ahmad', 'dhani', 'bangkrut', 'tagih', 'utang', 'video', 'mantan', 'istri', 'janda', 'kaya', 'raya', 'tahun', 'httpstco']"
